player,mean_elo,std_elo
bzero-100,839.7466988300622,10.009535676734203
bzero-200,993.1400213631794,8.713266665769943
bzero-300,1006.543735533643,7.917041118533699
bzero-400,1018.9865438163426,8.288576486783292
bzero-500,1019.6711619649843,8.245706230222527
bzero-600,1030.164314978018,8.82483105607365
bzero-700,1004.822046159842,8.656188982664366
bzero-800,1022.0177643142885,8.597536585267186
bzero-900,1043.1313687168072,7.718764445561021
bzero-1000,1006.785256548366,8.780104895419758
bzero-1100,1014.9910877744711,9.498656467631342
